[(0, 3), (3, 3), (3, 5), (5, 6)];2;0;(6, 6);[2.6, 2.4, 1.0, 4.7330000000000005, 4.333, 3, 4.0];Greedy Algorithm
[(0, 3), (3, 3), (3, 5), (5, 6), (6, 6)];2;0;(0, 5);[4.3, 1.75, 3.15, 4.667, 2.067, 4.5, 4.5];Minimax Algorithm
[(5, 0), (0, 3), (3, 3), (3, 5), (5, 6), (6, 6)];2;0;(4, 5);[3.6, 2.5, 1.1, 5.0, 4.5, 4, 4.5];Greedy Algorithm
[(4, 5), (5, 0), (0, 3), (3, 3), (3, 5), (5, 6), (6, 6)];1;0;(2, 4);[4.734, 2.584, 4.668, 4.834, 3.234, 5.917, 5.335];Minimax Algorithm
[(2, 4), (4, 5), (5, 0), (0, 3), (3, 3), (3, 5), (5, 6), (6, 6)];1;0;(2, 3);[4.734, 2.584, 4.668, 5.0, 3.3999999999999995, 5.917, 5.335];Minimax Algorithm
[(1, 3), (3, 2), (2, 4), (4, 5), (5, 0), (0, 3), (3, 3), (3, 5), (5, 6), (6, 6)];1;0;(0, 1);[6.0, 3.917, 5.334, 6.333, 4.333, 5.917, 7.0];Minimax Algorithm
[];0;0;(4, 4);[2.286, 1, 0, 1, 3.572, 3, 2.286];Greedy Algorithm
[(4, 4)];2;2;(2, 4);[2.666, 2.333, 3.999, 2, 3.6660000000000004, 1.333, 2.333];Minimax Algorithm
[(4, 4), (4, 2)];2;2;(4, 5);[2.786, 1.5, 2.5, 1.333, 4.571999999999999, 3.833, 2.286];Greedy Algorithm
[(5, 4), (4, 4), (4, 2)];1;2;(1, 5);[2.7329999999999997, 3.1999999999999997, 4.199999999999999, 2.4, 4.666, 2.4, 2.733];Minimax Algorithm
[(1, 5), (5, 4), (4, 4), (4, 2)];1;2;(1, 4);[2.8, 2.6, 2.8000000000000003, 1.333, 4.4, 4.933, 2.2];Greedy Algorithm
[(4, 1), (1, 5), (5, 4), (4, 4), (4, 2)];1;2;(3, 4);[2.833, 4.4, 4.5, 3.5, 5.666, 3.0, 3.233];Minimax Algorithm
[(3, 4), (4, 1), (1, 5), (5, 4), (4, 4), (4, 2)];1;2;(0, 3);[3.25, 2.75, 3.25, 2.333, 5.7, 5.083, 2.2];Greedy Algorithm
[(0, 3), (3, 4), (4, 1), (1, 5), (5, 4), (4, 4), (4, 2)];2;2;(0, 6);[4.0, 4.834, 5.001, 4.667, 6.0, 3.167, 4.0009999999999994];Minimax Algorithm
[(6, 0), (0, 3), (3, 4), (4, 1), (1, 5), (5, 4), (4, 4), (4, 2)];2;2;(6, 6);[4.5, 3.667, 4.0, 3.0, 6.167, 5.333, 5.001];Greedy Algorithm
[(6, 6), (6, 0), (0, 3), (3, 4), (4, 1), (1, 5), (5, 4), (4, 4), (4, 2)];1;2;(2, 6);[4.0, 5.167, 5.001, 5.0, 6.333, 3.167, 6.0];Minimax Algorithm
[(6, 6), (6, 0), (0, 3), (3, 4), (4, 1), (1, 5), (5, 4), (4, 4), (4, 2), (2, 6)];1;2;(5, 6);[4.5, 3.5, 4.5, 3.0, 6.0, 5.0, 5.5];Greedy Algorithm
[(6, 6), (6, 0), (0, 3), (3, 4), (4, 1), (1, 5), (5, 4), (4, 4), (4, 2), (2, 6), (6, 5)];0;0;(0, 5);[5.0, 3.5, 4.5, 3.0, 6.5, 5.0, 5.5];Greedy Algorithm
[];0;1;(3, 3);[3, 2.286, 0.286, 2.858, 1, 0, 4.286];Greedy Algorithm
[(3, 3)];2;2;(3, 5);[1.333, 1.666, 3.333, 3.999, 2.333, 3.999, 1.333];Minimax Algorithm
[(3, 3), (3, 5)];2;2;(0, 3);[3.833, 2.786, 0.286, 3.858, 1.833, 2.5, 4.286];Greedy Algorithm
[(0, 3), (3, 3), (3, 5)];1;2;(0, 2);[2.4, 1.733, 4.2, 5.066000000000001, 2.8, 4.199999999999999, 1.733];Minimax Algorithm
[(2, 0), (0, 3), (3, 3), (3, 5)];2;2;(2, 5);[2.4, 1.733, 4.2, 5.066000000000001, 2.8, 4.199999999999999, 1.733];Minimax Algorithm
[(2, 0), (0, 3), (3, 3), (3, 5), (5, 2)];1;1;(1, 2);[2.4, 2.8000000000000003, 4.2, 5.333, 3.4, 4.4, 1.733];Minimax Algorithm
[(2, 0), (0, 3), (3, 3), (3, 5), (5, 2), (2, 1)];1;1;(1, 6);[4.833, 3.786, 4.667, 4.2860000000000005, 2.5, 3.5, 4.666];Greedy Algorithm
[(2, 0), (0, 3), (3, 3), (3, 5), (5, 2), (2, 1), (1, 6)];0;1;(5, 6);[2.5, 3.7, 4.5, 5.433, 3.6, 4.5, 2.833];Minimax Algorithm
[];0;0;(5, 5);[0, 2, 2, 3.286, 2.286, 2.572, 1];Greedy Algorithm
[(5, 5)];3;3;(5, 6);[2.333, 1.333, 2, 2.167, 1.5, 4.334, 3.999];Minimax Algorithm
[(5, 5), (5, 6)];3;3;(6, 6);[0.333, 2.333, 2, 3.333, 2.6660000000000004, 3.666, 2.999];Greedy Algorithm
[(5, 5), (5, 6), (6, 6)];2;2;(0, 5);[3.4000000000000004, 1.5999999999999999, 2.4, 2.167, 1.767, 4.334, 4.6];Minimax Algorithm
[(0, 5), (5, 5), (5, 6), (6, 6)];1;2;(0, 3);[3.4000000000000004, 1.5999999999999999, 2.4, 2.4, 1.767, 4.567, 4.6];Minimax Algorithm
